Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"System.Windows.RoutedEventHandlerInfo.InvokeHandler(object,class System.Windows.RoutedEventArgs)",185,1,"19,47","0,11",
"System.Windows.Shell.WindowChromeWorker._HandleNCHitTest(valuetype Standard.WM,native int,native int,bool&)",40,1,"4,21","0,11",
"System.Windows.Shell.WindowChromeWorker._HitTestNca(valuetype System.Windows.Rect,valuetype System.Windows.Point)",1,1,"0,11","0,11",
"System.Windows.StyleHelper.GetValueFromStyleOrTemplate(valuetype MS.Internal.FrameworkObject,class System.Windows.DependencyProperty,valuetype System.Windows.EffectiveValueEntry&)",12,1,"1,26","0,11",
"System.Windows.StyleHelper.OnTriggerSourcePropertyInvalidated(class System.Windows.Style,class System.Windows.FrameworkTemplate,class System.Windows.DependencyObject,class System.Windows.DependencyProperty,valuetype System.Windows.DependencyPropertyChangedEventArgs,bool,valuetype MS.Utility.FrugalStructList`1<valuetype MS.Utility.ItemStructMap`1<valuetype System.Windows.TriggerSourceRecord>>&,valuetype MS.Utility.FrugalMap&,int32)",13,1,"1,37","0,11",
"System.Windows.TemplateContent.TrySharingProperty(class System.Xaml.XamlReader,class System.Xaml.XamlType,string,class MS.Utility.FrugalObjectList`1<class System.Xaml.NamespaceDeclaration>,valuetype System.Nullable`1<valuetype System.Windows.PropertyValue>&)",1,1,"0,11","0,11",
"System.Windows.Threading.Dispatcher.CriticalRequestProcessing(bool)",2,1,"0,21","0,11",
"System.Windows.Threading.Dispatcher.FromThread(class System.Threading.Thread)",1,1,"0,11","0,11",
"System.Windows.Threading.Dispatcher.get_CurrentDispatcher()",3,1,"0,32","0,11",
"System.Windows.Threading.Dispatcher.LegacyInvokeImpl(valuetype System.Windows.Threading.DispatcherPriority,valuetype System.TimeSpan,class System.Delegate,object,int32)",498,1,"52,42","0,11",
"System.Windows.Threading.Dispatcher.VerifyAccess()",2,1,"0,21","0,11",
"System.Windows.Threading.DispatcherOperationTaskSource`1.Initialize(class System.Windows.Threading.DispatcherOperation)",2,1,"0,21","0,11",
